"Timestamp","Would you like to grow your own fruits and vegetables?","Do you grow your own fruits and vegetables?","What do you grow? Please name the crop/crops","What is the most difficult part of growing fruits/vegetables?","How do you get information about growing fruits/vegetables?","Can you walk me through how you grow fruits and vegetables? Starting from scratch to a thriving crop?","What is the most difficult part of this journey?","What would make the process of growing fruits/vegetables easier for you?","Do you care about climate change?","We are building a product that will make it easier for you to grow your own vegetable garden. Will you be interested in something like this?","What features can we add to our product that will make your life easier?"
"2023/08/08 9:00:58 PM GMT+3","Yes","Yes","Herbs - Basil, Cilantro, Small tomatoes,Green Onion","Seed germination, knowing the conditions to grow it, soil fertility, when to add nutrients, ","Youtube, Google search","I have an aero garden, the device gives you step by step instructions on how to set up the machine, what nutrients to add, when to add water, etc","When plants look dead ","An app that would do the heavy lifting for me. Send reminders about check in, when to change soil, add water, harvest fruits etc","Yes","Yes","reminders for each life cycle of the product, interactive app that would make growing vegetables easier. "
"2023/08/08 11:30:07 PM GMT+3","Yes","No","N/A","I don't know what is easy to grow, or what will successfully grow in my home. I don't know what can grow inside/outside. ","N/A","","Where to start ","A guide for beginners - what/when/how/where to grow a few things to get me started ","Yes","Yes","Things that are easy to grow based on my location, available sunlight, temperature, amount of space, amount of time to grow, etc 

Someway to track the things I grow so I know when to water them, move them outside if necessary, etc 

Tips like saving the ends of scallions to replant, recipes for the things I am growing, a difficultly level for things to grow (like tomatoes are difficult because you need a lot of space, sunlight, and small window of time in late summer) 

I love the idea for this, great job! "
"2023/08/09 6:12:50 AM GMT+3","Yes","Yes","tomato, ladies finger, beans,brinjal, snake gourd, herbs","indoors/outdoors differences, pests/weed - need special instructions on how to do it","word of mouth, sellers gives information","buys seeds, buy tools for gardening, plant seeds along with nutrients, should know how to plant then using these tools, water them, wait for 5-6 days for the seed to germinate, once its grown, you'll have to replant it, use tools to replant it, - should be spaced well - can't be planted close to other plants, add nutrients, use tools again, leave it for one day and replant it, pour water everyday, put nutrients once a week (word of mouth knowledge)","pests sometime Destroy plants, need to know when to spray it. needs to know hen its going to rain- sometimes rain effects the crop growth","n/a","Maybe","Yes","videos are helpful, knowledge sharing"
"2023/08/09 9:40:25 AM GMT+3","Yes","No","Nothing currently","Time","Internet","","logistics","enter the plants I want to grow and have a plan made for me","Yes","Yes","enter the plants I want to grow and have a plan made for me"
"2023/08/09 9:51:24 PM GMT+3","Yes","Yes","Tomatoes, kumquat, basil, mint, raspberries, strawberries","Pest control, climate change","Google","Buy starters / plants / trees from the nursery, transfer it to a bigger pot, connect it to the automatic watering system, fertilize once a week during grow season, trim when season is over","Fertilization","Automatic fertilization","Yes","Yes","Tracking when I fertilize. Information on when to plant, how long it usually take for a plant to fruit, how much direct sun a plant needs, information on how to treat different pests both naturally and with chemicals"
"2023/08/09 10:07:42 PM GMT+3","Yes","Yes","Mostly indian veggies and flowers","Keep it safe from.bunnies and rats","From garden groups and Google ","","Keeping the plants bug free","More knowledge on how and what to grow when","Yes","Yes","Information on each plant"
"2023/08/09 10:11:54 PM GMT+3","Yes","Yes","Cucumber, Bottle gourd, yellow Cucumber, bitter gourd, okra","Protecting the plants from Texas weather. ","From gardeners group and by talking friends","Place the seeds in small cups during April and keep them inside. As the grow & depending on weather during May plant them outside. Period your cow manure, miracle -gro. Water the plants every day in the evening and alternate days mornings. If needed  do the pollination and pruning. ","Protecting from bugs and bunnies","Not sure","Yes","Maybe","Not sure"
"2023/08/09 11:21:54 PM GMT+3","Yes","Yes","Beans Tomatoes ","During summer time","Youtube","Seeds in a pot and once it is grows then move to Garden beds","Summer time","Train how to mix a soil","Yes","Maybe","Training"
"2023/08/09 11:57:11 PM GMT+3","Yes","Yes","Tomatoes, Ash guard, Radish, Gongura, Beans, bell pepper, lettuce, mint, spinach","Vegetables plants attract animals like ground hog, squirrels etc., that can destroy the yield.","Various whatsapp groups, Google, a few blogs, neighbors, sharing ideas with friends and family ","It depends on the vegetables I’m trying to grow.
Carrots, Radish and beat root seeds can be bought from Walmart for 0.99c, we prepare tge harden bed and sow the seeds., water them daily (sometimes twice) wait for the plants to survive and follow the routines to harvest.
Plants like tomatoes (cherry) varieties can be bought one time from Walmart, they tend to grow every year by themselves as seeds fall on the ground and are ready for next year.
Spinach and Lettuce seeds are usually purchased from Walmart.,
Mint can grow on its own once a branch is planted.,
","Watering, making sure that the plant survives","Good quality soil ","Yes","Yes","Good quality seeds., "
"2023/08/10 12:37:01 AM GMT+3","Yes","Yes","Okra tomatoes ridge gourd , chillies ","Heat :( and less  harvest","Fb groups and online ","Yes","Less harvest due to  insects rats and heat ","Sprinklers and drip irrigation ","Yes","Yes","Trellis "
